,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,bereznik,61,RU,1587179963,97,62.86,42.71,29.37,4.23
1,davydivka,38,UA,1587179963,10,48.12,25.56,48.99,3.98
2,albany,100,US,1587179759,79,42.6,-73.97,37.0,3.87
3,birjand,40,IR,1587179963,54,32.87,59.22,53.6,16.11
4,surt,0,LY,1587179964,76,31.21,16.59,59.22,5.41
5,nikolskoye,75,RU,1587179700,89,59.7,30.79,37.4,13.42
6,deszk,30,HU,1587179964,56,46.22,20.24,51.01,5.79
7,hermanus,84,ZA,1587179964,77,-34.42,19.23,57.99,5.01
8,ushuaia,40,AR,1587179672,61,-54.8,-68.3,48.2,8.05
9,atuona,84,PF,1587179964,75,-9.8,-139.03,82.35,13.06
10,jamestown,90,US,1587179717,84,42.1,-79.24,33.01,4.7
11,bredasdorp,100,ZA,1587179844,87,-34.53,20.04,57.99,4.7
12,kismayo,100,SO,1587179964,77,-0.36,42.55,82.76,8.97
13,rikitea,1,PF,1587179964,63,-23.12,-134.97,77.36,1.99
14,saint-philippe,38,RE,1587179965,73,-21.36,55.77,73.4,10.29
15,georgetown,20,MY,1587179965,79,5.41,100.34,89.6,4.7
16,torbay,75,CA,1587179734,63,47.67,-52.73,30.99,10.29
17,puerto ayora,82,EC,1587179965,93,-0.74,-90.35,75.99,1.01
18,mantua,28,IT,1587179965,85,45.17,10.78,48.0,2.53
19,norman wells,90,CA,1587179965,60,65.28,-126.83,39.2,2.24
20,avarua,10,CK,1587179965,69,-21.21,-159.78,80.6,4.7
21,fortuna,1,US,1587179965,93,40.6,-124.16,55.0,5.82
22,ribeira grande,67,PT,1587179966,80,38.52,-28.7,60.24,12.75
23,hasaki,75,JP,1587179966,100,35.73,140.83,57.99,27.51
24,busselton,98,AU,1587179668,37,-33.65,115.33,75.0,7.09
25,margate,99,GB,1587179966,96,51.38,1.39,48.0,5.99
26,xinyang,100,CN,1587179900,72,32.12,114.07,56.55,12.46
27,upernavik,98,GL,1587179966,90,72.79,-56.15,21.58,4.09
28,baikunthpur,0,IN,1587179966,15,23.25,82.55,92.98,1.77
29,atasu,91,KZ,1587179966,38,48.68,71.64,53.76,8.01
30,ihosy,47,MG,1587179966,72,-22.4,46.12,62.8,7.94
31,pisco,3,PE,1587179967,77,-13.7,-76.22,71.01,11.41
32,christchurch,2,NZ,1587179753,40,-43.53,172.63,69.01,12.75
33,kapaa,1,US,1587179967,65,22.08,-159.32,80.6,12.75
34,la ronge,75,CA,1587179967,74,55.1,-105.28,37.4,13.87
35,panji,56,ID,1587179967,70,-7.73,114.1,85.14,4.94
36,kaitangata,96,NZ,1587179676,78,-46.28,169.85,55.99,17.0
37,tukrah,1,LY,1587179967,82,32.53,20.58,55.47,6.85
38,paso de carrasco,20,UY,1587179967,87,-34.86,-56.05,60.8,8.05
39,haines junction,97,CA,1587179968,60,60.75,-137.51,41.31,1.34
40,hobart,40,AU,1587179703,47,-42.88,147.33,55.99,10.29
41,tuktoyaktuk,90,CA,1587179781,92,69.45,-133.04,14.0,12.75
42,sao miguel do araguaia,17,BR,1587179968,83,-13.28,-50.16,72.28,1.99
43,kenai,90,US,1587179968,70,60.55,-151.26,46.4,3.36
44,kaisiadorys,0,LT,1587179968,92,54.87,24.45,32.0,8.05
45,plainview,90,US,1587179968,75,40.78,-73.47,46.99,4.7
46,mar del plata,0,AR,1587179969,87,-38.0,-57.56,61.0,9.17
47,mataura,35,NZ,1587179969,51,-46.19,168.86,60.01,8.99
48,vityazevo,72,RU,1587179969,86,44.99,37.27,39.2,6.71
49,xuddur,24,SO,1587179969,73,4.12,43.89,74.88,11.21
50,berbera,97,SO,1587179969,76,10.44,45.01,83.98,7.94
51,esperance,90,AU,1587179969,36,-33.87,121.9,77.0,19.46
52,hithadhoo,10,MV,1587179969,79,-0.6,73.08,83.88,14.45
53,sao filipe,0,CV,1587179969,76,14.9,-24.5,70.12,18.5
54,punta arenas,14,CL,1587179764,75,-53.15,-70.92,46.0,10.29
55,new norfolk,93,AU,1587179848,70,-42.78,147.06,55.99,1.99
56,rosetta,20,EG,1587179970,88,31.4,30.42,62.6,8.05
57,yellowknife,75,CA,1587179722,68,62.46,-114.35,24.8,6.93
58,cherskiy,49,RU,1587179690,91,68.75,161.3,10.63,9.82
59,rio gallegos,70,AR,1587179970,49,-51.62,-69.22,48.2,12.75
60,butaritari,82,KI,1587179970,80,3.07,172.79,82.33,14.81
61,okato,15,NZ,1587179970,59,-39.2,173.88,64.0,10.0
62,kavieng,60,PG,1587179970,71,-2.57,150.8,82.98,4.41
63,kjollefjord,100,NO,1587179970,93,70.95,27.35,34.83,25.68
64,lebu,100,CL,1587179971,94,-37.62,-73.65,60.78,3.69
65,quatre cocos,75,MU,1587179971,83,-20.21,57.76,77.0,12.75
66,cape town,55,ZA,1587179971,87,-33.93,18.42,46.4,2.24
67,klaksvik,0,FO,1587179774,86,62.23,-6.59,41.0,10.29
68,bac lieu,66,VN,1587179971,65,9.29,105.72,86.81,10.18
69,muromtsevo,99,RU,1587179971,58,56.37,75.24,53.2,13.6
70,babushkin,77,RU,1587179971,65,51.71,105.86,38.26,9.15
71,simao,10,CN,1587179972,23,22.79,100.97,80.91,7.27
72,hanford,20,US,1587179972,82,36.33,-119.65,62.6,4.7
73,chuy,2,UY,1587179972,83,-33.7,-53.46,60.62,5.37
74,gejiu,18,CN,1587179972,33,23.31,103.16,68.27,10.25
75,castro,69,BR,1587179965,67,-24.79,-50.01,51.35,3.85
76,hilo,20,US,1587179828,51,19.73,-155.09,80.6,6.93
77,thompson,90,CA,1587179905,92,55.74,-97.86,28.4,16.11
78,saint-leu,0,RE,1587179972,73,-21.15,55.28,73.4,10.29
79,bluff,47,NZ,1587179775,51,-46.6,168.33,60.01,8.99
80,san patricio,100,MX,1587179972,61,19.22,-104.7,75.92,8.93
81,saurimo,100,AO,1587179973,72,-9.66,20.39,65.59,5.14
82,ulaanbaatar,40,MN,1587179710,52,47.91,106.88,44.6,17.9
83,port elizabeth,20,ZA,1587179973,87,-33.92,25.57,60.8,4.7
84,east london,12,ZA,1587179834,84,-33.02,27.91,66.22,11.32
85,lukovetskiy,90,RU,1587179973,98,64.3,41.92,32.0,5.95
86,port augusta,19,AU,1587179745,55,-32.5,137.77,66.2,6.93
87,qaanaaq,13,GL,1587179974,80,77.48,-69.36,11.48,8.03
88,half moon bay,90,US,1587179847,81,37.46,-122.43,57.0,9.17
89,arlit,0,NE,1587179974,13,18.74,7.39,80.11,5.23
90,tessalit,0,ML,1587179974,17,20.2,1.01,81.27,6.76
91,walvis bay,0,NA,1587179974,100,-22.96,14.51,57.0,1.12
92,springbok,8,ZA,1587179974,24,-29.66,17.89,57.99,8.84
93,dukat,100,RU,1587179974,82,62.55,155.55,5.18,8.32
94,khatanga,0,RU,1587179886,92,71.97,102.5,15.76,13.6
95,vaini,20,TO,1587179975,69,-21.2,-175.2,82.4,9.17
96,katsuura,75,JP,1587179730,93,35.13,140.3,62.6,18.34
97,portalegre,84,PT,1587179975,93,39.29,-7.43,53.6,4.7
98,tutoia,100,BR,1587179975,85,-2.76,-42.27,77.09,2.66
99,kodiak,90,US,1587179975,76,57.79,-152.41,50.0,12.75
100,saldanha,8,ZA,1587179975,81,-33.01,17.94,53.6,5.82
101,minab,74,IR,1587179976,88,27.15,57.08,71.6,4.7
102,dunedin,99,NZ,1587179720,85,-45.87,170.5,55.99,3.0
103,clyde river,90,CA,1587179781,84,70.47,-68.59,8.6,17.22
104,evensk,1,RU,1587179976,88,61.95,159.23,21.33,6.11
105,chumphon,98,TH,1587179976,79,10.33,98.83,84.2,3.36
106,chokurdakh,50,RU,1587179770,90,70.63,147.92,-3.08,4.85
107,victoria,100,HK,1587179976,61,22.29,114.16,80.01,8.01
108,port alfred,55,ZA,1587179870,94,-33.59,26.89,64.0,3.0
109,takoradi,100,GH,1587179976,85,4.88,-1.76,80.89,9.6
110,mahebourg,75,MU,1587179845,83,-20.41,57.7,77.0,12.75
111,souillac,75,MU,1587179977,83,-20.52,57.52,77.0,12.75
112,guerrero negro,0,MX,1587179977,77,27.98,-114.06,61.3,16.4
113,praia da vitoria,20,PT,1587179977,87,38.73,-27.07,57.2,10.85
114,ahipara,13,NZ,1587179977,75,-35.17,173.17,67.1,10.94
115,ostrovnoy,100,RU,1587179977,98,68.05,39.51,31.59,12.8
116,inirida,84,CO,1587179977,79,3.87,-67.92,75.11,1.36
117,bengkulu,77,ID,1587179690,68,-3.8,102.27,84.81,4.85
118,petropavlovskoye,0,RU,1587179977,55,52.07,84.11,51.28,7.58
119,kyren,100,RU,1587179977,53,51.68,102.14,38.14,6.53
120,te anau,49,NZ,1587179978,56,-45.42,167.72,51.21,8.61
121,dikson,91,RU,1587179843,97,73.51,80.55,25.12,14.9
122,northam,100,GB,1587179734,91,51.03,-4.22,50.0,4.0
